token,phonemes,ipa,syllables,stress,plosives,fricatives,energy,rhyme_family,archetype
Clash,K L A SH,klaʃ,1,1,1,2,0.41,ash,Chaos
Clutter,K L U T T E R,klutter,2,10,3,0,0.45,ter,Chaos
Collision,K O L L I S I O N,kollision,3,100,1,1,0.23,sion,Chaos
Commotion,K O M M O T I O N,kommotion,3,100,2,0,0.3,tion,Chaos
Conflict,K O N F L I K T,konflikt,2,10,3,1,0.53,ict,Chaos
Confusion,K O N F U S I O N,konfusion,3,100,1,2,0.31,sion,Chaos
Convulsion,K O N V U L S I O N,konvulsion,3,100,1,2,0.31,sion,Chaos
Corrosion,K O R R O S I O N,korrosion,3,100,1,1,0.23,sion,Chaos
Crash,K R A SH,kraʃ,1,1,1,2,0.41,ash,Chaos
Craze,K R A Z E,kraze,1,1,1,1,0.33,aze,Chaos
Creak,K R E A K,kreak,1,1,2,0,0.4,eak,Chaos
Crisis,K R I S I S,krisis,2,10,1,2,0.31,sis,Chaos
Crumble,K R U M B L E,krumble,1,1,2,0,0.4,ble,Chaos
Crunch,K R U N K H,krunkh,1,1,2,1,0.48,nch,Chaos
Damage,D A M A G E,damaɡe,2,10,2,0,0.3,age,Chaos
Danger,D A N G E R,danɡer,2,10,2,0,0.3,ger,Chaos
Daring,D A R I N G,darinɡ,2,10,2,0,0.3,ing,Chaos
Dash,D A SH,daʃ,1,1,1,2,0.41,ash,Chaos
Deadlock,D E A D L O K K,deadlokk,2,10,4,0,0.6,ock,Chaos
Decay,D E K EY,dekeɪ,2,10,2,0,0.3,y,Chaos
Delusion,D E L U S I O N,delusion,3,100,1,1,0.23,sion,Chaos
Demolition,D E M O L I T I O N,demolition,4,1000,2,0,0.3,tion,Chaos
Denigration,D E N I G R A T I O N,deniɡration,4,1000,3,0,0.45,tion,Chaos
Depletion,D E P L E T I O N,depletion,3,100,3,0,0.45,tion,Chaos
Derangement,D E R A N G E M E N T,deranɡement,4,1000,3,0,0.45,ent,Chaos
Despair,D E S P EY R,despeɪr,2,10,2,1,0.38,air,Chaos
Destruction,D E S T R U K T I O N,destruktion,3,100,4,1,0.68,tion,Chaos
Deviation,D E V I A T I O N,deviation,3,100,2,1,0.38,tion,Chaos
Disaster,D I S A S T E R,disaster,3,100,2,2,0.46,ter,Chaos
Discord,D I S K O R D,diskord,2,10,3,1,0.53,ord,Chaos
Disorder,D I S O R D E R,disorder,3,100,2,1,0.38,der,Chaos
Disruption,D I S R U P T I O N,disruption,3,100,3,1,0.53,tion,Chaos
Dissonance,D I S S O N A N K E,dissonanke,3,100,2,2,0.46,ance,Chaos
Distortion,D I S T O R T I O N,distortion,3,100,3,1,0.53,tion,Chaos
Distraction,D I S T R A K T I O N,distraktion,3,100,4,1,0.68,tion,Chaos
Divergence,D I V E R G E N K E,diverɡenke,3,100,3,1,0.53,ence,Chaos
Drub,D R U B,drub,1,1,2,0,0.4,rub,Chaos
Dynamite,D Y N A M I T E,djnamite,3,100,2,0,0.3,ite,Chaos
Earthquake,E A R T H Q U A K E,earthquake,2,10,2,1,0.38,ake,Chaos
Eclipse,E K L I P S E,eklipse,2,10,2,1,0.38,pse,Chaos
Efflorescence,E F F L O R E S K E N K E,effloreskenke,4,1000,2,3,0.54,ence,Chaos
Effluvium,E F F L U V I U M,effluvium,3,100,0,3,0.24,ium,Chaos
Ejection,E J E K T I O N,ejektion,3,100,2,0,0.3,tion,Chaos
Elaboration,E L A B O R A T I O N,elaboration,5,10000,2,0,0.3,tion,Chaos
Elapsing,E L A P S I N G,elapsinɡ,3,100,2,1,0.38,ing,Chaos
Elements,E L E M E N T S,elements,3,100,1,1,0.23,nts,Chaos
Eluviation,E L U V I A T I O N,eluviation,4,1000,1,1,0.23,tion,Chaos
Emergency,E M E R G E N K Y,emerɡenkj,4,1000,2,0,0.3,y,Chaos
Emotions,E M O T I O N S,emotions,3,100,1,1,0.23,ons,Chaos
Endings,E N D I N G S,endinɡs,2,10,2,1,0.38,ngs,Chaos
Energies,E N E R G I E S,enerɡies,3,100,1,1,0.23,ies,Chaos
Epiphany,E P I P H A N Y,epiphanj,4,1000,2,1,0.38,y,Chaos
Equinox,E Q U I N O X,equinox,3,100,0,0,0.0,nox,Chaos
Error,E R R O R,error,2,10,0,0,0.0,ror,Chaos
Eruption,E R U P T I O N,eruption,3,100,2,0,0.3,tion,Chaos
Escape,E S K A P E,eskape,2,10,2,1,0.38,ape,Chaos
Essence,E S S E N K E,essenke,2,10,1,2,0.31,ence,Chaos
Ethics,E T H I K S,ethiks,2,10,2,2,0.46,ics,Chaos
Etiology,E T I O L O G Y,etioloɡj,4,1000,2,0,0.3,y,Chaos
Events,E V E N T S,events,2,10,1,2,0.31,nts,Chaos
Exactness,E X A K T N E S S,exaktness,3,100,2,2,0.46,ess,Chaos
Excitation,E X K I T A T I O N,exkitation,4,1000,3,0,0.45,tion,Chaos
Execution,E X E K U T I O N,exekution,4,1000,2,0,0.3,tion,Chaos
Exit,E X I T,exit,2,10,1,0,0.15,xit,Chaos
Exfoliation,E X F O L I A T I O N,exfoliation,4,1000,1,1,0.23,tion,Chaos
Fallout,F A L L AW T,fallaʊt,2,10,1,1,0.23,out,Chaos
Codex,K OW D EH K S,koʊdɛks,2,10,3,0,0.45,dex,Codex
Account,A K K AW N T,akkaʊnt,2,10,3,0,0.45,unt,Codex
Algorithm,AE L G ER IH TH M,ælɡɜɪθm,3,100,2,1,0.38,thm,Codex
Almanac,A L M A N A K,almanak,3,100,1,0,0.15,nac,Codex
Anthology,A N T H O L O G Y,antholoɡj,4,1000,2,1,0.38,y,Codex
Annals,A N N A L S,annals,2,10,0,1,0.08,als,Codex
Archive,A R K H I V E,arkhive,2,10,1,2,0.31,ive,Codex
Axiom,AE K S IY AH M,æksiʌm,3,100,1,0,0.15,iom,Codex
Beacon,B E A K O N,beakon,2,10,2,0,0.3,con,Codex
Blueprint,B L U E P R I N T,blueprint,2,10,3,0,0.45,int,Codex
Book,B O O K,book,1,1,2,0,0.4,ook,Codex
Broadcast,B R O A D K A S T,broadkast,2,10,4,1,0.68,ast,Codex
Catalog,K A T A L O G,kataloɡ,3,100,3,0,0.45,log,Codex
Chronicle,K H R O N I K L E,khronikle,2,10,2,1,0.38,cle,Codex
Cipher,K I P H E R,kipher,2,10,2,1,0.38,her,Codex
Clue,K L U E,klue,1,1,1,0,0.25,lue,Codex
Collection,K O L L E K T I O N,kollektion,3,100,3,0,0.45,tion,Codex
Compendium,K O M P E N D I U M,kompendium,3,100,3,0,0.45,ium,Codex
Conduit,K O N D U I T,konduit,2,10,3,0,0.45,uit,Codex
Comprehension,K O M P R E H E N S I O N,komprehension,4,1000,2,2,0.46,sion,Codex
Database,D A T A B A S E,database,3,100,3,1,0.53,ase,Codex
Diary,D I A R Y,diarj,2,10,1,0,0.15,y,Codex
Dictionary,D I K T I O N A R Y,diktionarj,4,1000,3,0,0.45,y,Codex
Digest,D I G E S T,diɡest,2,10,3,1,0.53,est,Codex
Directory,D I R E K T O R Y,direktorj,4,1000,3,0,0.45,y,Codex
Document,D O K U M E N T,dokument,3,100,3,0,0.45,ent,Codex
Dossier,D O S S I E R,dossier,2,10,1,2,0.31,ier,Codex
Education,E D U K A T I O N,edukation,4,1000,3,0,0.45,tion,Codex
Emblem,E M B L E M,emblem,2,10,1,0,0.15,lem,Codex
Encyclopedia,E N K Y K L O P E D I A,enkjklopedia,5,10000,4,0,0.6,dia,Codex
Enrichment,E N R I K H M E N T,enrikhment,3,100,2,1,0.38,ent,Codex
Equation,E Q U A T I O N,equation,3,100,1,0,0.15,tion,Codex
Erudition,E R U D I T I O N,erudition,4,1000,2,0,0.3,tion,Codex
Essence,E S S E N K E,essenke,2,10,1,2,0.31,ence,Codex
Ethics,E T H I K S,ethiks,2,10,2,2,0.46,ics,Codex
Etymology,E T Y M O L O G Y,etjmoloɡj,5,10000,2,0,0.3,y,Codex
Evidence,E V I D E N K E,evidenke,3,100,2,1,0.38,ence,Codex
Exactness,E X A K T N E S S,exaktness,3,100,2,2,0.46,ess,Codex
Exit,E X I T,exit,2,10,1,0,0.15,xit,Codex
Expertise,E X P E R T I S E,expertise,3,100,2,1,0.38,ise,Codex
Explanation,E X P L A N A T I O N,explanation,4,1000,2,0,0.3,tion,Codex
Exposition,E X P O S I T I O N,exposition,4,1000,2,1,0.38,tion,Codex
Expression,E X P R E S S I O N,expression,3,100,1,2,0.31,sion,Codex
Extent,E X T E N T,extent,2,10,2,0,0.3,ent,Codex
Fact,F A K T,fakt,1,1,2,1,0.48,act,Codex
Fable,F A B L E,fable,1,1,1,1,0.33,ble,Codex
Fallacy,F A L L A K Y,fallakj,3,100,1,1,0.23,y,Codex
Foresight,F O R E S I G H T,foresiɡht,3,100,2,3,0.54,ght,Codex
Formula,F O R M U L A,formula,3,100,0,1,0.08,ula,Codex
Frequency,F R E Q U E N K Y,frequenkj,3,100,1,1,0.23,y,Codex
Gallery,G A L L E R Y,ɡallerj,3,100,1,0,0.15,y,Codex
Glyph,G L Y P H,ɡljph,1,1,2,1,0.48,yph,Codex
Glossary,G L O S S A R Y,ɡlossarj,3,100,1,2,0.31,y,Codex
Guide,G U I D E,ɡuide,1,1,2,0,0.4,ide,Codex
Hint,H I N T,hint,1,1,1,1,0.33,int,Codex
History,H I S T O R Y,historj,3,100,1,2,0.31,y,Codex
Icon,I K O N,ikon,2,10,1,0,0.15,con,Codex
Index,I N D E X,index,2,10,1,0,0.15,dex,Codex
Insight,I N S I G H T,insiɡht,2,10,2,2,0.46,ght,Codex
Inscription,I N S K R I P T I O N,inskription,3,100,3,1,0.53,tion,Codex
Interpretation,I N T E R P R E T A T I O N,interpretation,5,10000,4,0,0.6,tion,Codex
Journal,J AW R N A L,jaʊrnal,2,10,0,0,0.0,nal,Codex
Key,K IY,ki,1,1,1,0,0.25,y,Codex
Knowledge,K N AW L E D G E,knaʊledɡe,2,10,3,0,0.45,dge,Codex
Law,L A W,law,1,1,0,0,0.1,law,Codex
Learning,L E A R N I N G,learninɡ,2,10,1,0,0.15,ing,Codex
Legend,L E G E N D,leɡend,2,10,2,0,0.3,end,Codex
Lemma,L E M M A,lemma,2,10,0,0,0.0,mma,Codex
Lexicon,L E X I K O N,lexikon,3,100,1,0,0.15,con,Codex
Library,L I B R A R Y,librarj,3,100,1,0,0.15,y,Codex
Lore,L O R E,lore,1,1,0,0,0.1,ore,Codex
Log,L O G,loɡ,1,1,1,0,0.25,log,Codex
Manifest,M A N I F E S T,manifest,3,100,1,2,0.31,est,Codex
Manuscript,M A N U S K R I P T,manuskript,3,100,3,1,0.53,ipt,Codex
Map,M A P,map,1,1,1,0,0.25,map,Codex
Mark,M A R K,mark,1,1,1,0,0.25,ark,Codex
Matter,M A T T E R,matter,2,10,2,0,0.3,ter,Codex
Meaning,M E A N I N G,meaninɡ,2,10,1,0,0.15,ing,Codex
Medium,M E D I U M,medium,3,100,1,0,0.15,ium,Codex
Memorial,M E M O R I A L,memorial,3,100,0,0,0.0,ial,Codex
Myth,M Y T H,mjth,1,1,1,1,0.33,yth,Codex
Narrative,N A R R A T I V E,narrative,3,100,1,1,0.23,ive,Codex
Network,N E T W O R K,network,2,10,2,0,0.3,ork,Codex
Notebook,N O T E B O O K,notebook,3,100,3,0,0.45,ook,Codex
Observation,O B S E R V A T I O N,observation,4,1000,2,2,0.46,tion,Codex
Parchment,P A R K H M E N T,parkhment,2,10,3,1,0.53,ent,Codex
Pattern,P A T T E R N,pattern,2,10,3,0,0.45,ern,Codex
Postulate,P O S T U L A T E,postulate,3,100,3,1,0.53,ate,Codex
Precedent,P R E K E D E N T,prekedent,3,100,4,0,0.6,ent,Codex
Prediction,P R E D I K T I O N,prediktion,3,100,4,0,0.6,tion,Codex
Principle,P R I N K I P L E,prinkiple,2,10,3,0,0.45,ple,Codex
Proof,P R O O F,proof,1,1,1,1,0.33,oof,Codex
Prophecy,P R O P H E K Y,prophekj,3,100,3,1,0.53,y,Codex
Protocol,P R O T O K O L,protokol,3,100,3,0,0.45,col,Codex
Pseudonym,P S E U D O N Y M,pseudonjm,3,100,2,1,0.38,nym,Codex
Question,Q U E S T I O N,question,2,10,1,1,0.23,tion,Codex
Quota,Q U O T A,quota,2,10,1,0,0.15,ota,Codex
Record,R E K O R D,rekord,2,10,2,0,0.3,ord,Codex
Reference,R E F E R E N K E,referenke,3,100,1,1,0.23,ence,Codex
Schema,S K H E M A,skhema,2,10,1,2,0.31,ema,Codex
Accident,A K K I D E N T,akkident,3,100,4,0,0.6,ent,Gatswaai
Acronym,A K R O N Y M,akronjm,3,100,1,0,0.15,nym,Gatswaai
Acumen,A K U M E N,akumen,3,100,1,0,0.15,men,Gatswaai
Agony,A G O N Y,aɡonj,3,100,1,0,0.15,y,Gatswaai
Alchemy,A L K H E M Y,alkhemj,3,100,1,1,0.23,y,Gatswaai
Allegory,A L L E G O R Y,alleɡorj,4,1000,1,0,0.15,y,Gatswaai
Allegiance,A L L E G I A N K E,alleɡianke,3,100,2,0,0.3,ance,Gatswaai
Amnesia,A M N E S I A,amnesia,3,100,0,1,0.08,sia,Gatswaai
Anomaly,A N O M A L Y,anomalj,4,1000,0,0,0.0,y,Gatswaai
Antagonist,A N T A G O N I S T,antaɡonist,4,1000,3,1,0.53,ist,Gatswaai
Apocalypse,A P O K A L Y P S E,apokaljpse,4,1000,3,1,0.53,pse,Gatswaai
Armageddon,A R M A G E D D O N,armaɡeddon,4,1000,3,0,0.45,don,Gatswaai
Artifact,A R T I F A K T,artifakt,3,100,3,1,0.53,act,Gatswaai
Asylum,A S Y L U M,asjlum,3,100,0,1,0.08,lum,Gatswaai
Atonement,A T O N E M E N T,atonement,4,1000,2,0,0.3,ent,Gatswaai
Axiom,AE K S IY AH M,æksiʌm,3,100,1,0,0.15,iom,Gatswaai
Backlash,B A K K L A SH,bakklaʃ,2,10,3,2,0.61,ash,Gatswaai
Badlands,B A D L A N D S,badlands,2,10,3,1,0.53,nds,Gatswaai
Bandit,B A N D I T,bandit,2,10,3,0,0.45,dit,Gatswaai
Banshee,B A N SH E E,banʃee,1,1,1,2,0.41,hee,Gatswaai
Barbarian,B A R B A R I A N,barbarian,3,100,2,0,0.3,ian,Gatswaai
Bastion,B A S T I O N,bastion,2,10,2,1,0.38,tion,Gatswaai
Bedlam,B E D L A M,bedlam,2,10,2,0,0.3,lam,Gatswaai
Berserker,B E R S E R K E R,berserker,3,100,2,1,0.38,ker,Gatswaai
Bias,B I A S,bias,1,1,1,1,0.33,ias,Gatswaai
Bounty,B AW N T Y,baʊntj,2,10,2,0,0.3,y,Gatswaai
Breach,B R E A K H,breakh,1,1,2,1,0.48,ach,Gatswaai
Breaker,B R E A K E R,breaker,2,10,2,0,0.3,ker,Gatswaai
Brigade,B R I G A D E,briɡade,2,10,3,0,0.45,ade,Gatswaai
Brink,B R I N K,brink,1,1,2,0,0.4,ink,Gatswaai
Brittle,B R I T T L E,brittle,1,1,3,0,0.55,tle,Gatswaai
Bronze,B R O N Z E,bronze,1,1,1,1,0.33,nze,Gatswaai
Cadaver,K A D A V E R,kadaver,3,100,2,1,0.38,ver,Gatswaai
Caliber,K A L I B E R,kaliber,3,100,2,0,0.3,ber,Gatswaai
Carnage,K A R N A G E,karnaɡe,2,10,2,0,0.3,age,Gatswaai
Carrion,K A R R I O N,karrion,2,10,1,0,0.15,ion,Gatswaai
Cataclysm,K A T A K L Y S M,katakljsm,3,100,3,1,0.53,ysm,Gatswaai
Catastrophe,K AE T AE S T R OW F IY,kætæstroʊfi,4,1000,3,2,0.61,phe,Gatswaai
Caustic,K A U S T I K,kaustik,2,10,3,1,0.53,tic,Gatswaai
Celerity,K E L E R I T Y,keleritj,4,1000,2,0,0.3,y,Gatswaai
Cerberus,K E R B E R U S,kerberus,3,100,2,1,0.38,rus,Gatswaai
Chaos,K EY AA S,keɪɑs,2,10,1,2,0.31,aos,Gatswaai
Chimera,K H I M E R A,khimera,3,100,1,1,0.23,era,Gatswaai
Chronicle,K H R O N I K L E,khronikle,2,10,2,1,0.38,cle,Gatswaai
Clandestine,K L A N D E S T I N E,klandestine,3,100,3,1,0.53,ine,Gatswaai
Cobra,K O B R A,kobra,2,10,2,0,0.3,bra,Gatswaai
Codex,K OW D EH K S,koʊdɛks,2,10,3,0,0.45,dex,Gatswaai
Coffin,K O F F I N,koffin,2,10,1,2,0.31,fin,Gatswaai
Conclave,K O N K L A V E,konklave,2,10,2,1,0.38,ave,Gatswaai
Conflagration,K O N F L A G R A T I O N,konflaɡration,4,1000,3,1,0.53,tion,Gatswaai
Consequence,K O N S E Q U E N K E,konsequenke,3,100,2,1,0.38,ence,Gatswaai
Contagion,K O N T A G I O N,kontaɡion,3,100,3,0,0.45,ion,Gatswaai
Contravention,K O N T R A V E N T I O N,kontravention,4,1000,3,1,0.53,tion,Gatswaai
Corruption,K O R R U P T I O N,korruption,3,100,3,0,0.45,tion,Gatswaai
Counterfeit,K AW N T E R F IY T,kaʊnterfit,3,100,3,1,0.53,eit,Gatswaai
Coven,K O V E N,koven,2,10,1,1,0.23,ven,Gatswaai
Covert,K O V E R T,kovert,2,10,2,1,0.38,ert,Gatswaai
Coward,K AW A R D,kaʊard,2,10,2,0,0.3,ard,Gatswaai
Craving,K R A V I N G,kravinɡ,2,10,2,1,0.38,ing,Gatswaai
Creed,K R E E D,kreed,1,1,2,0,0.4,eed,Gatswaai
Creep,K R E E P,kreep,1,1,2,0,0.4,eep,Gatswaai
Crest,K R E S T,krest,1,1,2,1,0.48,est,Gatswaai
Crisis,K R I S I S,krisis,2,10,1,2,0.31,sis,Gatswaai
Critique,K R I T I Q U E,kritique,2,10,2,0,0.3,que,Gatswaai
Crucible,K R U K I B L E,krukible,2,10,3,0,0.45,ble,Gatswaai
Cruelty,K R U E L T Y,krueltj,2,10,2,0,0.3,y,Gatswaai
Cryptic,K R Y P T I K,krjptik,2,10,4,0,0.6,tic,Gatswaai
Curse,K U R S E,kurse,1,1,1,1,0.33,rse,Gatswaai
Dagger,D A G G E R,daɡɡer,2,10,3,0,0.45,ger,Gatswaai
Damned,D A M N E D,damned,2,10,2,0,0.3,ned,Gatswaai
Dawn,D A W N,dawn,1,1,1,0,0.25,awn,Gatswaai
Daymare,D EY M A R E,deɪmare,2,10,1,0,0.15,are,Gatswaai
Dearth,D E A R T H,dearth,1,1,2,1,0.48,rth,Gatswaai
Death,D E A T H,death,1,1,2,1,0.48,ath,Gatswaai
Debacle,D E B A K L E,debakle,2,10,3,0,0.45,cle,Gatswaai
Decay,D E K EY,dekeɪ,2,10,2,0,0.3,y,Gatswaai
Decent,D E K E N T,dekent,2,10,3,0,0.45,ent,Gatswaai
Decoy,D E K OY,dekɔɪ,2,10,2,0,0.3,y,Gatswaai
Delirium,D E L I R I U M,delirium,3,100,1,0,0.15,ium,Gatswaai
Delve,D E L V E,delve,1,1,1,1,0.33,lve,Gatswaai
Deprave,D E P R A V E,deprave,2,10,2,1,0.38,ave,Gatswaai
Descent,D E S K E N T,deskent,2,10,3,1,0.53,ent,Gatswaai
Desert,D E S E R T,desert,2,10,2,1,0.38,ert,Gatswaai
Desolate,D E S O L A T E,desolate,3,100,2,1,0.38,ate,Gatswaai
Despair,D E S P EY R,despeɪr,2,10,2,1,0.38,air,Gatswaai
Desperado,D E S P E R A D O,desperado,4,1000,3,1,0.53,ado,Gatswaai
Destiny,D E S T I N Y,destinj,3,100,2,1,0.38,y,Gatswaai
Devastation,D E V A S T A T I O N,devastation,4,1000,3,2,0.61,tion,Gatswaai
Deviant,D E V I A N T,deviant,2,10,2,1,0.38,ant,Gatswaai
Devil,D E V I L,devil,2,10,1,1,0.23,vil,Gatswaai
Dexterity,D E X T E R I T Y,dexteritj,4,1000,3,0,0.45,y,Gatswaai
Dichotomy,D I K H O T O M Y,dikhotomj,4,1000,3,1,0.53,y,Gatswaai
Dilemma,D I L E M M A,dilemma,3,100,1,0,0.15,mma,Gatswaai
Dire,D I R E,dire,1,1,1,0,0.25,ire,Gatswaai
Direful,D I R E F U L,direful,3,100,1,1,0.23,ful,Gatswaai
Disaster,D I S A S T E R,disaster,3,100,2,2,0.46,ter,Gatswaai
Discord,D I S K O R D,diskord,2,10,3,1,0.53,ord,Gatswaai
Disease,D I S E A S E,disease,2,10,1,2,0.31,ase,Gatswaai
Disgrace,D I S G R A K E,disɡrake,2,10,3,1,0.53,ace,Gatswaai
Dishonor,D I SH O N O R,diʃonor,3,100,1,2,0.31,nor,Gatswaai
Disorder,D I S O R D E R,disorder,3,100,2,1,0.38,der,Gatswaai
Disparate,D I S P A R A T E,disparate,3,100,3,1,0.53,ate,Gatswaai
Dissident,D I S S I D E N T,dissident,3,100,3,2,0.61,ent,Gatswaai
Dissonance,D I S S O N A N K E,dissonanke,3,100,2,2,0.46,ance,Gatswaai
Distortion,D I S T O R T I O N,distortion,3,100,3,1,0.53,tion,Gatswaai
Distract,D I S T R A K T,distrakt,2,10,4,1,0.68,act,Gatswaai
Divine,D I V I N E,divine,2,10,1,1,0.23,ine,Gatswaai
Doctor,D O K T O R,doktor,2,10,3,0,0.45,tor,Gatswaai
Dogma,D O G M A,doɡma,2,10,2,0,0.3,gma,Gatswaai
Domicile,D O M I K I L E,domikile,3,100,2,0,0.3,ile,Gatswaai
Doom,D O O M,doom,1,1,1,0,0.25,oom,Gatswaai
Dour,D AW R,daʊr,1,1,1,0,0.25,our,Gatswaai
Dragon,D R A G O N,draɡon,2,10,2,0,0.3,gon,Gatswaai
Dread,D R E A D,dread,1,1,2,0,0.4,ead,Gatswaai
Dredge,D R E D G E,dredɡe,1,1,3,0,0.55,dge,Gatswaai
Drift,D R I F T,drift,1,1,2,1,0.48,ift,Gatswaai
Drought,D R AW G H T,draʊɡht,1,1,3,1,0.63,ght,Gatswaai
Duel,D U E L,duel,1,1,1,0,0.25,uel,Gatswaai
Dystopia,D Y S T O P I A,djstopia,3,100,3,1,0.53,pia,Gatswaai
Eclipse,E K L I P S E,eklipse,2,10,2,1,0.38,pse,Gatswaai
Edict,E D I K T,edikt,2,10,3,0,0.45,ict,Gatswaai
Efficacy,E F F I K A K Y,effikakj,4,1000,2,2,0.46,y,Gatswaai
Elder,E L D E R,elder,2,10,1,0,0.15,der,Gatswaai
Eldritch,E L D R I T K H,eldritkh,2,10,3,1,0.53,tch,Gatswaai
Embers,E M B E R S,embers,2,10,1,1,0.23,ers,Gatswaai
Empathy,E M P A T H Y,empathj,3,100,2,1,0.38,y,Gatswaai
Empyrean,E M P Y R E A N,empjrean,3,100,1,0,0.15,ean,Gatswaai
Enclave,E N K L A V E,enklave,2,10,1,1,0.23,ave,Gatswaai
Enemy,E N E M Y,enemj,3,100,0,0,0.0,y,Gatswaai
Enigma,E N I G M A,eniɡma,3,100,1,0,0.15,gma,Gatswaai
Enmity,E N M I T Y,enmitj,3,100,1,0,0.15,y,Gatswaai
Enrage,E N R A G E,enraɡe,2,10,1,0,0.15,age,Gatswaai
Ensign,E N S I G N,ensiɡn,2,10,1,1,0.23,ign,Gatswaai
Entropy,E N T R O P Y,entropj,3,100,2,0,0.3,y,Gatswaai
Epoch,E P O K H,epokh,2,10,2,1,0.38,och,Gatswaai
Epidemic,E P I D E M I K,epidemik,4,1000,3,0,0.45,mic,Gatswaai
Equinox,E Q U I N O X,equinox,3,100,0,0,0.0,nox,Gatswaai
Era,E R A,era,2,10,0,0,0.0,era,Gatswaai
Eradication,E R A D I K A T I O N,eradikation,5,10000,3,0,0.45,tion,Gatswaai
Erosion,E R O S I O N,erosion,3,100,0,1,0.08,sion,Gatswaai
Err,E R R,err,1,1,0,0,0.1,err,Gatswaai
Errant,E R R A N T,errant,2,10,1,0,0.15,ant,Gatswaai
Erroneous,E R R O N E AW S,erroneaʊs,3,100,0,1,0.08,ous,Gatswaai
Error,E R R O R,error,2,10,0,0,0.0,ror,Gatswaai
Eruption,E R U P T I O N,eruption,3,100,2,0,0.3,tion,Gatswaai
Escapade,E S K A P A D E,eskapade,3,100,3,1,0.53,ade,Gatswaai
Essence,E S S E N K E,essenke,2,10,1,2,0.31,ence,Gatswaai
Eternity,E T E R N I T Y,eternitj,4,1000,2,0,0.3,y,Gatswaai
Ethics,E T H I K S,ethiks,2,10,2,2,0.46,ics,Gatswaai
Evict,E V I K T,evikt,2,10,2,1,0.38,ict,Gatswaai
Evil,E V I L,evil,2,10,0,1,0.08,vil,Gatswaai
Exacerbation,E X A K E R B A T I O N,exakerbation,5,10000,3,0,0.45,tion,Gatswaai
Exactitude,E X A K T I T U D E,exaktitude,4,1000,4,0,0.6,ude,Gatswaai
Exile,E X I L E,exile,2,10,0,0,0.0,ile,Gatswaai
Exodus,E X O D U S,exodus,3,100,1,1,0.23,dus,Gatswaai
Exorcism,E X O R K I S M,exorkism,3,100,1,1,0.23,ism,Gatswaai
Expanse,E X P A N S E,expanse,2,10,1,1,0.23,nse,Gatswaai
Expedition,E X P E D I T I O N,expedition,4,1000,3,0,0.45,tion,Gatswaai
